passes_id,player_id,reciever_id,start_frame,end_frame,pass_grade
0,17,3,12,63,0.9
1,3,5,63,166,0.7
2,5,17,166,194,0.5
3,17,4,194,210, 0.5
4,4,3,210,246, 0.3
5,3,129,246,276,0.5
6,129,136,276,292,0.3 
7,136,129,292,336,0.3 
8,129,136,336,361,0.3
9,136,4,361,415,0.5 
10,4,3,415,437, 0.10
11,3,129,437,500,0.5 
12,129,4,500,601,0.5 
13,4,136,601,616,0.3
14,136,3,616,662,0.3
 
